Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
AMBULANTA LOVREC DOMA ZDRAVLJA SPLITSKO-DALMATINSKE zupanije,SPLITSKO-DALMATINSKA ZUPANIJA,LOVREC,ULICA DR. FRANJE TUDMANA 66,21257,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LUCKO, DOM ZDRAVLJA ZAGREB-CENTAR",GRAD ZAGREB,LUCKO,LUCKO 2 A,10250,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LUG, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,LUG,ULICA SANDORA PETEFIJA 114 B,31328,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUKA DOMA ZDRAVLJA ZAGREBACKE zupanije,ZAGREBACKA ZUPANIJA,LUKA,TRG SV. ROKA BB,10296,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUKA-J. GOTOVCA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,ULICA JAKOVA GOTOVCA 19,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUKA-TRG L. MATACICA DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,TRG LOVRE MATACICA 2,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUPOGLAV ISTARSKIH DOMOVA ZDRAVLJA,ISTARSKA ZUPANIJA,LUPOGLAV,LUPOGLAV 2,52426,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUSCIC DOM ZDRAVLJA KARLOVAC,KARLOVACKA ZUPANIJA,KARLOVAC,DRAGUTINA DOMJANICA 19,47000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA LUZANI DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,LUZANI,ORLJAVSKA ULICA 9,35257,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA LUZNJAN, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,LIZNJAN,KRASA 7,52204,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MACINEC DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,MACINEC,GLAVNA ULICA 26,40306,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MAGADENOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,MAGADENOVAC,GLAVNA 3,31542,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MAHICNO DOM ZDRAVLJA KARLOVAC,KARLOVACKA ZUPANIJA,MAHICNO,MAHICNO 60 A,47286,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MALA SUBOTICA DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,MALA SUBOTICA,GLAVNA ULICA 32 A,40321,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MALESNICA, DOM ZDRAVLJA ZAGREB-ZAPAD",GRAD ZAGREB,ZAGREB,MALESNICA 31,10000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MALI LOSINJ, DOM ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,MALI LOSINJ,PRIKO 69,51550,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MARCANA, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,MARCANA,MARCANA 166,52206,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MARIJA BISTRICA DOMA ZDRAVLJA KRAPINSKO-ZAGORSKE zupanije,KRAPINSKO-ZAGORSKA ZUPANIJA,MARIJA BISTRICA,ULICA KRALJA TOMISLAVA 24,49246,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MARIJA GORICA DOM ZDRAVLJA ZAGREBACKE zupanije,ZAGREBACKA ZUPANIJA,MARIJA GORICA,GORICKA ULICA 18 A,10299,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MARKUSICA DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,MARKUSICA,PERE CARA 2,32213,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MARTINSKA VES, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,MARTINSKA VES,DESNA MARTINSKA VES 66 A,44201,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MARTINSCICA, DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,MARTINSCICA,MARTINSCICA BB,51556,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MATULJI-CESTA DALMATINSKI BRIGADA, DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,MATULJI,DALMATINSKIH BRIGADA 30 B,51211,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MIKLUSEVCI DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,MIKLUSEVCI,VUKOVARSKA 2,32238,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MILJEVCI DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,DRINOVCI,ULICA DR. FRANJE TUDMANA 18,22324,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MIRKOVCI DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,MIRKOVCI,TRG NIKOLE TESLE 4,32240,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MIROGOJSKA DOM ZDRAVLJA ZAGREB CENTAR,GRAD ZAGREB,ZAGREB,MIROGOJSKA CESTA 11,10000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MLJET DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,BABINO POLJE,ZABREZJE 94,20225,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MLJET DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,GOVEDARI,GOVEDARI BB,20226,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MOKOSICA-VINOGRADSKA, DOM ZDRAVLJA DUBROVNIK",DUBROVACKO-NERETVANSKA ZUPANIJA,NOVA MOKOSICA,VINOGRADARSKA 16,20236,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MOKRICE, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,PETRINJA,TRG NARODNIH UCITELJA BB,44250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MOLAT-IST DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,MOLAT,MOLAT 24,23292,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MOSCENICA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,MOSCENICA,HRVATSKIH BRANITELJA BB,44253,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MRKOPALJ DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije,PRIMORSKO-GORANSKA ZUPANIJA,MRKOPALJ,SKOLSKA 6,51315,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA MUPA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,TRG LAVOSLAVA RUZICKE 1,31000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MURSKO SREDISCE DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,MURSKO SREDISCE,V.NAZORA 19,40315,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA MURTER DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,MURTER,ULICA HRVAT. VLADARA 47,22243,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NASICE, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,NASICE,UL. BANA JELACICA 10,31500,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NATRA, DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,NARTA,NARTA 294,43247,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NEDELISCE DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,NEDELISCE,MARSALA TITA 1,40305,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NEGOSLAVCI DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,NEGOSLAVCI,PETROVACKA 1,32239,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NETRETIC DOM ZDRAVLJA DUGA RESA,KARLOVACKA ZUPANIJA,NETRETIC,NETRETIC 2 A,47271,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NEVIDANE DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,NEVIDANE,,23264,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NIJEMCI DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,NIJEMCI,JOSIPA JURAJA STROSSMAYERA 1 B,32245,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NINSKA 10 DOM ZDRAVLJA ZAGREB-ISTOK,GRAD ZAGREB,SESVETE,NINSKA ULICA 10,10360,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NIN-VRSI DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,NIN,PUT GRGURA NINSKOG 11,23232,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NOVA GRADISKA-GAJEVA, DOM ZDRAVLJA DR ANDRIJA STAMPAR",BRODSKO-POSAVSKA ZUPANIJA,NOVA GRADISKA,LJUDEVITA GAJA 26,35400,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NOVA KAPELA DOM ZDRAVLJA DR ANDRIJA STAMPAR,BRODSKO-POSAVSKA ZUPANIJA,NOVA KAPELA,TRG KRALJA TOMISLAVA 4,35410,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NOVA MOKOSICA DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,NOVA MOKOSICA,BARTOLA KASICA 10,20236,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NOVA RACA, DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,NOVA RACA,TRG STJEPANA RADICA 48,43272,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NOVI SISAK, DOMA ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,SISAK,ULICA AUGUSTA CESARCA 10 B,44000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NOVI VINODOLSKI, DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije",PRIMORSKO-GORANSKA ZUPANIJA,NOVI VINODOLSKI,KRALJA TOMISLAVA 24,51250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NOVIGRAD DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,NOVIGRAD,ULICA STJEPANA RADICA 2,23312,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA NOVSKA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,NOVSKA,ZAGREBACKA ULICA 6,44330,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NUSTAR DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,NUSTAR,TRG DR. FRANJE TUDMANA 2,32221,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA NJIVICE TURIST.AMB. DOMA ZDRAVLJA PRIMORSKO-GORANSKE zupanije,PRIMORSKO-GORANSKA ZUPANIJA,NJIVICE,PRIMORSKA CESTA BB,51512,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OBROVAC DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,OBROVAC,UL. STJEPANA RADICA BB,23450,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ODRANSKI OBREZ, DOM ZDRAVLJA ZAGREB-CENTAR",GRAD ZAGREB,ODRANSKI OBREZ,OBRESKA CESTA 117,10020,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OKLAJ DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,OKLAJ,PUT KROZ OKLAJ 87,22303,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OKUCANI DOM ZDRAVLJA DR. ANDRIJA STAMPAR,BRODSKO-POSAVSKA ZUPANIJA,OKUCANI,TRG DR. FRANJE TUDMANA 3,35430,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OLT, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,ULICA KRALJA PETRA SVACICA 4,31000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OMIS - TRG IVANA RAOSA, DOMA ZDRAVLJA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,OMIS,TRG IVANA RAOSA 1,21310,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OMIS, CETVRT Z. DRAZOJEVICA DOM ZDRAVLJA SPLITSKO DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,OMIS,CETVRT ZARKA DRAZOJEVICA 5,21310,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OMIS, V. NAZORA 7, DOM ZDRAVLJA SPLITSKO-DALMATINSKE zupanije",SPLITSKO-DALMATINSKA ZUPANIJA,OMIS,VLADIMIRA NAZORA 7,21310,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OPRISAVCI DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,OPRISAVCI,OPRISAVCI 51,35213,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OPUZEN DOM ZDRAVLJA METKOVIC,DUBROVACKO-NERETVANSKA ZUPANIJA,OPUZEN,ZAGREBACKA 3,20355,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ORAHOVICA, TRG PLEMENITIH MIHALOVICA DOM ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije",VIROVITICKO-PODRAVSKA ZUPANIJA,ORAHOVICA,TRG PLEMENITIH MIHALOVICA 1 / 1,33515,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA ORASAC DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,ORASAC,NA PRZINI 14,20234,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OREBIC DOM ZDRAVLJA KORCULA,DUBROVACKO-NERETVANSKA ZUPANIJA,OREBIC,KRALJA TOMISLAVA 22,20250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OREHOVICA DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,OREHOVICA,ULICA NIKOLE TESLE BB,40322,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ORIOVAC, DOM ZDRAVLJA SLAVONSKI BROD",BRODSKO-POSAVSKA ZUPANIJA,ORIOVAC,ULICA VLADIMIRA BECICA 2,35250,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OSIJEK-SVETOG LEOPOLDA BAGDANA MANDICA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,ULICA SVETOG LEOPOLDA BOGDANA MANDICA 208,31000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OSNOVNA SKOLA JURAJ SIZGORIC, STJEPANA RADICA BB, DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,STJEPANA RADICA BB,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OS ""PETAR KRESIMIR IV"" - SIBENIK DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,BANA JOSIPA JELACICA 74,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OS J.DALMATINCA-STIPE NINICA, DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,STIPE NINICA 27,22000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OSTARIJE DOM ZDRAVLJA OGULIN,KARLOVACKA ZUPANIJA,OSTARIJE,OSTARIJE 227,47302,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA OTOCAC V. NAZORA 16 A, DOM ZDRAVLJA OTOCAC",LICKO-SENJSKA ZUPANIJA,OTOCAC,VLADIMIRA NAZORA 16 A,53220,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA OTOK DOM ZDRAVLJA VINKOVCI,VUKOVARSKO-SRIJEMSKA ZUPANIJA,OTOK,KRALJA PETRA KRESIMIRA IV 1,32252,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PACETIN DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,PACETIN,PANDUREVICEVA 2,32222,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PAG DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,PAG,PROSIKA 7,23250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PAKOSTANE DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,PAKOSTANE,UL. KRALJICE JELENE BB,23211,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PERJASICA DOM ZDRAVLJA DUGA RESA,KARLOVACKA ZUPANIJA,PERJASICA,PERJASICA BB,47253,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PERKOVIC-BORAJA, DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,PERKOVIC,PERKOVIC SELO BB,22205,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PERUSIC DOM ZDRAVLJA GOSPIC,LICKO-SENJSKA ZUPANIJA,PERUSIC,ULICA DR. ANTE STARCEVICA 20,53202,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PETRIJANEC, DOMA ZDRAVLJA VARAZDINSKE zupanije",VARAZDINSKA ZUPANIJA,PETRIJANEC,TRG SVETOG PETRA 3,42206,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PETRIJEVCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,PETRIJEVCI,REPUBLIKE 112,31208,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PETRINJA-MATIJE GUPCA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,PETRINJA,MATIJE GUPCA 4,44250,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PETRINJA-R.LOPASICA, DOM ZDRAVLJA SISACKO-MOSLAVACKE zupanije",SISACKO-MOSLAVACKA ZUPANIJA,PETRINJA,RADOSLAVA LOPASICA 1 B,44250,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PETROVCI DOM ZDRAVLJA VUKOVAR,VUKOVARSKO-SRIJEMSKA ZUPANIJA,PETROVCI,VUKOVARSKA 1,32229,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PETROVSKO, DOMA ZDRAVLJA KRAPINSKO-ZAGORSKE zupanije",KRAPINSKO-ZAGORSKA ZUPANIJA,PETROVSKO,PETROVSKO 45,49234,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PIROVAC DOM ZDRAVLJA SIBENIK,SIBENSKO-KNINSKA ZUPANIJA,PIROVAC,TRG DOMOVINSKOG RATA 17,22213,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PISKOREVCI, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,PISKOREVCI,PREOBRAZENSKI TRG 2,31417,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PITOMACA, DOMA ZDRAVLJA VIROVITICKO-PODRAVSKE zupanije",VIROVITICKO-PODRAVSKA ZUPANIJA,PITOMACA,TRG KRALJA TOMISLAVA 3,33405,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PLASKI DOM ZDRAVLJA OGULIN,KARLOVACKA ZUPANIJA,PLASKI,IVANE BRLIC MAZURANIC BB,47304,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PLITVICE DOM ZDRAVLJA KORENICA,LICKO-SENJSKA ZUPANIJA,PLITVICKA JEZERA,MUKINJE 22,53231,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PLOCE I DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,MAESTRA DELA JUSICA 44,20000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PLOCE II DOM ZDRAVLJA DUBROVNIK,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,UZ TABOR 2,20000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PLOSTINE, DOMA ZDRAVLJA POZESKO-SLAVONSKE zupanije",POZESKO-SLAVONSKA ZUPANIJA,PLOSTINE,PLOSTINE BB,34550,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PODCRKAVLJE DOM ZDRAVLJA SLAVONSKI BROD,BRODSKO-POSAVSKA ZUPANIJA,PODCRKAVLJE,PODCRKAVLJE BB,35201,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PODGORAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,PODGORAC,TRG PAVLA PEJACEVICA 5,31433,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PODRAVSKA MOSLAVINA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,PODRAVSKA MOSLAVINA,J. J. STROSSMAYERA 120,31530,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PODRAVSKE SESVETE - I. MAZURANICA, DOMA ZDRAVLJA KOPRIVNICKO-KRIZEVACKE zupanije",KOPRIVNICKO-KRIZEVACKA ZUPANIJA,PODRAVSKE SESVETE,IVANA MAZURANICA 1,48363,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA PODTUREN DOM ZDRAVLJA CAKOVEC,MEDIMURSKA ZUPANIJA,PODTUREN,CAKOVECKA ULICA 1,40317,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA PODVINJE, DOM ZDRAVLJA SLAVONSKI BROD",BRODSKO-POSAVSKA ZUPANIJA,PODVINJE,TRG SVETOG ANTUNA BB,35000,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA POLACA DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,POLACA,POLACA BB,23423,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA POLICNIK DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,POLICNIK,TRG SV. NIKOLE 1,23241,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA POLIKLINIKA ZA BOLESTI DISNOG SUSTAVA,ZAGREBACKA ZUPANIJA,VELIKA GORICA,ULICA MATICE HRVATSKE BB,10410,Dislocirana jed. poliklinike
AMBULANTA POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINOLOGIJU GHETALDUS,GRAD ZAGREB,ZAGREB,ILICA 47,10000,Dislocirana jed. poliklinike
AMBULANTA POLIKLINIKA ZA REHABILITACIJU OSOBA SA SMETNJAMA U RAZVOJU,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,MATOSEVA 2,21000,Dislocirana jed. poliklinike
AMBULANTA POLIKLINIKA ZA REHABILITACIJU OSOBA SA SMETNJAMA U RAZVOJU,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,TRG HRV. BRAT. ZAJ. BB,21000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,SAVSKA CESTA 77 / 2,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,GRIZANSKA ULICA 4,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,JABUKOVAC BB,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,KRCKA ULICA 3,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,VINOGRADSKA CESTA 29,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,VRABECAK 4,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,IVANICGRADSKA ULICA 38,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,KRUGE 44,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",GRAD ZAGREB,ZAGREB,AVENIJA VECESLAVA HOLJEVCA 22,10000,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",ZAGREBACKA ZUPANIJA,VELIKA GORICA,ULICA MATICE HRVATSKE BB,10410,Dislocirana jed. poliklinike
"AMBULANTA POLIKLINIKA ZA REHABILITACIJU SLUSANJA I GOVORA ""SUVAG""",ZAGREBACKA ZUPANIJA,SAMOBOR,ULICA LJUDEVITA GAJA 37,10430,Dislocirana jed. poliklinike
AMBULANTA POLJANA CARA AUGUSTA DOMA ZDRAVLJA ZADARSKE zupanije,ZADARSKA ZUPANIJA,ZADAR,POLJANA CARA AUGUSTA 2,23000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA POLJANA, DOMA ZDRAVLJA POZESKO-SLAVONSKE zupanije",POZESKO-SLAVONSKA ZUPANIJA,POLJANA,ULICA LJUDEVITA GAJA 41 A,34543,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA POPOVAC, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,POPOVAC,DURE DAKOVICA 2 B,31303,Ambulanta doma zdravlja dislocirana jedinica
